Category,Material,Market_Rate,Unit,Buy_Price_20pct_Margin
Copper & Brass,Bare Bright Copper,4.89,lb,3.91
Copper & Brass,#1 Copper,4.85,lb,3.88
Copper & Brass,#2 Copper,4.7,lb,3.76
Copper & Brass,Light Copper,4.58,lb,3.66
Copper & Brass,Red Brass,3.71,lb,2.97
Copper & Brass,Semi-Red Brass,4.28,lb,3.42
Copper & Brass,Yellow Brass (Clean),2.89,lb,2.31
Copper & Brass,Yellow Brass Shells,3.81,lb,3.05
Copper & Brass,Yellow Brass Turnings,3.49,lb,2.79
Components & Electrical,#1 Insulated Wire (80%),4.32,lb,3.46
Components & Electrical,Harness Wire,3.03,lb,2.42
Components & Electrical,Alternators,0.73,lb,0.58
Components & Electrical,Auto Batteries,0.22,lb,0.18
Components & Electrical,A/C Compressors,0.39,lb,0.31
Aluminum Index,Aluminum Wheels,1.13,lb,0.9
Aluminum Index,Chrome Wheels,0.83,lb,0.66
Aluminum Index,Semi/Truck Wheels,0.96,lb,0.77
Aluminum Index,Chrome Clad Wheels,0.69,lb,0.55
Aluminum Index,Old Sheet Aluminum,0.63,lb,0.5
Aluminum Index,Cast Aluminum,0.53,lb,0.42
Aluminum Index,Clean Aluminum Radiators,0.61,lb,0.49
Aluminum Index,Dirty Aluminum Radiators,0.33,lb,0.26
Aluminum Index,Aluminum Turnings,0.38,lb,0.3
Aluminum Index,UBC Cans (Baled),0.7,lb,0.56
Ferrous & Whole Units,Whole Car / Shell,7.75,cwt,6.2
Ferrous & Whole Units,Unprepared Steel,6.75,cwt,5.4
Ferrous & Whole Units,Prepared Steel,8,cwt,6.4
Ferrous & Whole Units,Engine/Trans Combo,0.28,lb,0.22
Ferrous & Whole Units,Rotors,0.02,lb,0.02
Ferrous & Whole Units,Tin / Appliances,6,cwt,4.8
